title,description,type,question,options,answer,difficulty
html structure and semantics,DOCTYPE declaration,multiple choice,What is the correct DOCTYPE declaration for an HTML5 document?,<!DOCTYPE html5>|<!DOCTYPE html>|<html doctype='5'>|<!DOCTYPE HTML PUBLIC>,<!DOCTYPE html>,beginner
html structure and semantics,head vs body,multiple choice,A Nigerian developer puts a paragraph tag inside the <head> of their page. What will happen?,The paragraph displays at the top of the page|The paragraph is hidden by default|The HTML is invalid — visible content belongs in the body|The browser will throw a JavaScript error,The HTML is invalid — visible content belongs in the body,beginner
html structure and semantics,heading hierarchy,True or False,A web page should have only one <h1> element — it represents the main page title.,True|False,True,beginner
html structure and semantics,anchor tags,multiple choice,A Lagos developer wants a link on their portfolio page that jumps to the #contact section on the same page. Which href value is correct?,href='contact'|href='#contact'|href='./contact'|href='page.html#contact',href='#contact',beginner
html structure and semantics,alt attribute,multiple choice,Which of the following best describes the purpose of the alt attribute on an <img> tag?,It sets the image title shown on hover|It provides a text description for accessibility and when the image fails to load|It controls the image dimensions|It links the image to a file,It provides a text description for accessibility and when the image fails to load,beginner
html structure and semantics,semantic elements,multiple choice,A developer is building the Nigerian news site. Which element should wrap the main navigation links?,<div class='nav'>|<navigation>|<nav>|<menu>,<nav>,beginner
html structure and semantics,form inputs,multiple choice,A Paystack payment form needs a field that only accepts email addresses. Which input type should be used?,type='text'|type='email'|type='string'|type='address',type='email',beginner
html structure and semantics,tables,True or False,HTML tables should be used for page layout instead of CSS Flexbox or Grid.,True|False,False,beginner
html structure and semantics,div vs semantic elements,multiple choice,Which HTML element represents a self-contained piece of content like a blog post or news article?,<section>|<div>|<article>|<content>,<article>,intermediate
html structure and semantics,target blank security,multiple choice,A developer adds target='_blank' to a link. What additional attribute should they include for security?,rel='external'|rel='noopener noreferrer'|rel='blank'|rel='secure',rel='noopener noreferrer',intermediate
css styling and layout,CSS selector specificity,multiple choice,Which CSS selector has the highest specificity?,p { color: red; }|.text { color: red; }|#title { color: red; }|* { color: red; },#title { color: red; },beginner
css styling and layout,box model,multiple choice,"A developer sets width: 200px on a div. With box-sizing: content-box, where does the padding go?","Inside the 200px width|Outside the 200px width, making the element wider|It is ignored|It replaces the border","Outside the 200px width, making the element wider",beginner
css styling and layout,box-sizing border-box,True or False,Setting box-sizing: border-box means the padding and border are included within the element's declared width.,True|False,True,beginner
css styling and layout,flexbox axis,multiple choice,"On a flex container with the default flex-direction, which property controls alignment along the horizontal main axis?",align-items|align-content|justify-content|flex-align,justify-content,beginner
css styling and layout,CSS Grid vs Flexbox,multiple choice,"A developer is building a dashboard layout for a Nigerian fintech app with a sidebar, header, main content, and footer. Which CSS tool is best suited for this two-dimensional layout?",Flexbox|CSS Grid|Float|CSS Tables,CSS Grid,beginner
css styling and layout,responsive design viewport,multiple choice,A Nigerian developer forgets to include the viewport meta tag. What is the most likely result on mobile devices?,The page loads faster|The browser zooms out to show the desktop version|The page becomes unstyled|JavaScript stops working,The browser zooms out to show the desktop version,beginner
css styling and layout,media queries,multiple choice,Which media query applies styles only when the screen width is 768px or smaller?,@media (min-width: 768px)|@media (max-width: 768px)|@media screen and (width: 768px)|@media (screen < 768px),@media (max-width: 768px),beginner
css styling and layout,position property,multiple choice,A developer wants a navigation bar that stays fixed at the top of the screen as the user scrolls. Which position value should they use?,position: absolute|position: relative|position: fixed|position: sticky,position: fixed,intermediate
css styling and layout,CSS custom properties,multiple choice,A developer defines --brand-color: #387F7F on the :root. How do they use this variable on a button?,background-color: brand-color|background-color: $brand-color|background-color: var(--brand-color)|background-color: --brand-color,background-color: var(--brand-color),intermediate
css styling and layout,DECIMAL for money,True or False,"In CSS, the fr unit in CSS Grid represents a fraction of the available space in the grid container.",True|False,True,intermediate
javascript fundamentals,let vs const,multiple choice,A developer declares const price = 5000. They then try to run price = 6000. What happens?,price becomes 6000|A TypeError is thrown — const cannot be reassigned|The value changes but only temporarily|JavaScript silently ignores the reassignment,A TypeError is thrown — const cannot be reassigned,beginner
javascript fundamentals,strict equality,multiple choice,What does '5' === 5 evaluate to in JavaScript?,true|false|NaN|undefined,false,beginner
javascript fundamentals,truthy and falsy,True or False,"In JavaScript, an empty string '' and the number 0 are both falsy values.",True|False,True,beginner
javascript fundamentals,array methods,multiple choice,A developer has an array of Nigerian bank names and wants to add 'Zenith Bank' to the end. Which method should they use?,banks.unshift('Zenith Bank')|banks.push('Zenith Bank')|banks.add('Zenith Bank')|banks.append('Zenith Bank'),banks.push('Zenith Bank'),beginner
javascript fundamentals,function return value,multiple choice,A developer writes a function that calculates VAT but forgets the return statement. What does the function return?,0|null|undefined|An error is thrown,undefined,beginner
javascript fundamentals,DOM selection,multiple choice,A developer wants to select ALL elements with the class 'product-card' on a Jumia-style page. Which method should they use?,document.getElementById('product-card')|document.querySelector('.product-card')|document.querySelectorAll('.product-card')|document.getElementByClass('product-card'),document.querySelectorAll('.product-card'),beginner
javascript fundamentals,event preventDefault,multiple choice,A developer adds a submit event listener to a contact form but the page keeps reloading on submit. What is missing?,event.stopPropagation()|event.preventDefault()|event.cancel()|return false,event.preventDefault(),beginner
javascript fundamentals,template literals,multiple choice,Which syntax correctly embeds the variable name inside a string in JavaScript?,"'Hello ' + {name}|`Hello ${name}`|'Hello $name'|""Hello "" & name",`Hello ${name}`,beginner
javascript fundamentals,object access,multiple choice,A developer has a variable key = 'city'. They want to access customer[key]. Which notation must they use?,customer.key|customer[key]|customer{'key'}|customer.city,customer[key],intermediate
javascript fundamentals,innerHTML vs textContent,True or False,Using innerHTML with untrusted user input can create an XSS security vulnerability.,True|False,True,intermediate
javascript advanced,array map,multiple choice,A developer uses Array.map() on an array of Nigerian product prices to apply 7.5% VAT to each price. What does map() return?,It modifies the original array in place|A new array of the same length with the updated prices|A single total value|undefined,A new array of the same length with the updated prices,beginner
javascript advanced,array filter,multiple choice,A developer runs prices.filter(p => p > 5000) on an array of Naira prices. What is returned?,The first price greater than 5000|A new array containing only prices greater than 5000|The number of prices greater than 5000|true or false,A new array containing only prices greater than 5000,beginner
javascript advanced,async await,multiple choice,A developer writes an async function but does not use await before a fetch call. What does the function receive?,The resolved data|A Promise object|undefined|null,A Promise object,intermediate
javascript advanced,fetch error handling,True or False,The fetch() function throws an error when the server returns a 404 status code.,True|False,False,intermediate
javascript advanced,localStorage,multiple choice,A developer saves a user's preferred language to localStorage. What happens to this data when the user closes and reopens the browser?,The data is deleted|The data persists — localStorage survives browser restarts|The data expires after 24 hours|The data is only available on that tab,The data persists — localStorage survives browser restarts,beginner
javascript advanced,ES6 destructuring,multiple choice,"Given const { name, city } = customer, what does this JavaScript feature do?",Creates a copy of the customer object|Extracts name and city from customer into separate variables|Merges two objects|Converts customer to JSON,Extracts name and city from customer into separate variables,beginner
javascript advanced,ES6 modules,multiple choice,A developer splits their Nigerian app into modules and uses export default function calculate(). How do they import this in another file?,import { calculate } from './utils.js'|import calculate from './utils.js'|import * as calculate from './utils.js'|require('./utils.js'),import calculate from './utils.js',intermediate
javascript advanced,Promise.all,multiple choice,"A developer uses Promise.all([fetchUser(), fetchOrders()]) to load data in parallel. What does Promise.all() return?",The result of the fastest promise|An array with both results when both promises resolve|The result of the first resolved promise|It runs them sequentially,An array with both results when both promises resolve,intermediate
javascript advanced,class inheritance,True or False,"In a class that extends another class, super() must be called in the constructor before using the this keyword.",True|False,True,intermediate
javascript advanced,spread operator,multiple choice,"A developer writes const merged = {...defaults, ...overrides}. What does the spread operator do here?",Creates a nested object|Merges both objects — overrides values take precedence for duplicate keys|Converts objects to arrays|Compares the two objects,Merges both objects — overrides values take precedence for duplicate keys,intermediate
git and github,Git vs GitHub,multiple choice,A Lagos developer says 'I use GitHub for version control'. What is technically inaccurate about this statement?,Nothing — GitHub and version control are the same thing|Git is the version control tool — GitHub is a cloud hosting platform for Git repositories|GitHub is for version control but Git is only for backups|GitHub does not support version control,Git is the version control tool — GitHub is a cloud hosting platform for Git repositories,beginner
git and github,git add and commit,multiple choice,A developer edits index.html but runs git commit -m 'update homepage' without running git add first. What happens?,The commit includes the changes to index.html|The commit is created but empty — the changes were not staged|Git throws an error and stops|The commit is automatically staged,The commit is created but empty — the changes were not staged,beginner
git and github,gitignore,True or False,A .env file containing API keys will be ignored by Git if it is listed in .gitignore — even when running git add .,True|False,True,beginner
git and github,git log,multiple choice,A developer wants to see a compact one-line summary of all commits. Which command should they use?,git log|git log --oneline|git history|git commits --short,git log --oneline,beginner
git and github,branching,multiple choice,A Paystack developer is adding a new feature. They want to work on it without affecting the main branch. What is the correct first step?,Edit files directly on main|git switch -c feature/new-feature|git commit -m 'start feature'|git push origin main,git switch -c feature/new-feature,beginner
git and github,merge conflict,multiple choice,"After resolving a merge conflict in style.css, what must the developer do before the merge is complete?",Run git merge --continue|Edit the conflict markers and then run git add style.css and git commit|Run git push immediately|Delete the branch,Edit the conflict markers and then run git add style.css and git commit,intermediate
git and github,git push first time,multiple choice,A developer runs git push for the first time on a new branch and gets an error. What flag sets up the upstream tracking?,-f|--force|--set-upstream or -u|--track,--set-upstream or -u,intermediate
git and github,pull request,multiple choice,A developer working on a Nigerian open source project wants to propose changes to the original repository. What is the correct workflow?,Push directly to the original repository|Fork the repo → clone the fork → make changes → open a Pull Request|Email the changes to the maintainer|Run git merge on the original repo,Fork the repo → clone the fork → make changes → open a Pull Request,beginner
git and github,commit message,True or False,A commit message of 'fix' is considered a professional and acceptable commit message in a team environment.,True|False,False,beginner
git and github,git clone vs git pull,multiple choice,A new developer joins an Andela team and needs to get the project on their laptop for the first time. Which command should they use?,git pull origin main|git fetch origin|git clone <repository-url>|git init,git clone <repository-url>,beginner
git and github,Closes issue syntax,multiple choice,A developer wants their Pull Request to automatically close Issue #7 when merged. What should they include in the PR description?,Fixes issue 7|Closes #7|Resolves issue-7|Merge #7,Closes #7,intermediate
